OPERADOR,ID OPERADOR,ID SERVICIO ORBYTA,CLIENTE/USO,DIRECCION,"CAPACIDAD(mbps)",ORDEN DE COMPRA,ESTA VIGENTE,MONEDA,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,FACTURA,NETO
ENTEL,10000370579,19-0340-048,Servicios Médicos Dial S.A,Providencia 2633,40,2557,SI,UF,,,,,,,,,,,17768872,21.47,17823836,6.1,17879154,6.1,17953361,6.1,18008672,6.1,18047299,6.1,18123630,6.1,18183303,6.1,18226050,6.1,18283989,6.1,18346634,6.1,18403789,6.1,18465213,6.1,18543504,6.1,18630119,6.1,18671967,6.1,18731482,6.1,18794008,6.1,18839347,6.1,18919648,6.1,18996840,6.1,19047133,6.1,19137376,6.1,19162082,6.1,19223788,6.1,,
ENTEL,10000371085,17-0026-006,NETSECURE INFORMATICA S.A. (CORONA),Providencia 655,100,2281,SI,UF,,,,7,17608095,7,"17663201",7,17714499,7,17768872,7,17823836,7,17879154,7,17953361,7,18008672,7,18047299,7,18123630,7,18183303,7,18226050,7,18283989,7,18346634,7,18403789,7,18465213,7,18543504,14,18630119,7,18671967,7,18731482,7,18794008,7,18839347,7,18919648,7,18996840,7,19047133,7,19137376,7,19162082,7,19223788,7,,
ENTEL,10000382575,13-0012-148,Orbyta Nodo Bucarest/Suecia,Bucarest 150,100,1503,SI,UF,,,,6.9,17608095,6.9,"17663201",6.9,17714499,6.9,17768872,6.9,17823836,6.9,17879154,6.9,17953361,6.9,18008672,6.9,18047299,6.9,18123630,6.9,18183303,6.9,18226050,6.9,18283989,6.9,18346634,6.9,18403789,6.9,18465213,6.9,18543504,6.9,18630119,6.9,18671967,6.9,18731482,6.9,18794008,6.9,18839347,6.9,18919648,6.9,18996840,6.9,19047133,6.9,19137376,6.9,19162082,6.9,19223788,6.9,,
ENTEL,10000317105,15-0002-005,INMOBILIARIA ALMENDRA SPA,Nueva Costanera 4010,,965,NO,UF,,,,2.72,17608094,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTEL,10000317926,14-0101-003,CORRETAJE DE PROPIEDADES PATRICIA JOHANNA COLON TAPIA E.I.R.L.,Rey Alberto 4093,5,979,NO,UF,,,,2.85,17608094,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTEL,10000318659,12-0019-027,Fuenzalida Reñaca,Edmundo Luchans 1850,5,986,NO,UF,,,,2.95,17608095,2.95,"17663201",2.95,17714499,2.95,17768872,2.95,17823836,2.95,17879154,2.95,17953361,2.95,18008672,2.95,18047299,2.95,18123630,2.95,18183303,2.95,18226050,2.95,18283989,2.95,18346634,2.95,18403789,2.96,18465213,2.95,18543504,3,18630119,3,18671967,3,18731482,3,18794008,1.7,,,,,,,,,,,,,,,,
TELEFONICA,LLAORB13900,13-0012-042,Orbyta Nodo Santa Maria 1,LOS CONQUISTADORES 1700,100,1218,SI,UF,,,47307911,7.6,47308484,7.6,47309054,7.6,47309595,7.6,47310141,7.6,47899374,7.6,47899920,7.6,47900439,7.6,47900950,7.6,47901607,7.6,48840560,7.6,48841097,7.6,48841542,7.6,48842080,7.6,48842590,7.6,48843105,7.6,49557409,7.6,49557946,7.6,49558434,7.6,49558926,7.6,49559481,7.6,49559977,7.6,50403061,7.6,50403576,7.6,50404177,6.84,50991742,6.84,51290707,6.84,51290501,6.84,51291221,6.84,,
ENTEL,10000334278,15-0085-007,,Laboratorio y Farmacias LVN la Botika y Compañia Ltda,,1151,NO,UF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTEL,10000405664,16-0078-050,Pentacrom,Agustinas 972,50,1639/1983,SI,UF,,,,8.5,17608095,8.5,"17663201",8.5,17714499,8.5,17768872,8.5,17823836,8.5,17879154,8.5,17953361,8.5,18008672,8.5,18047299,8.5,18123630,8.5,18183303,8.5,18226050,8.5,18283989,8.5,18346634,8.5,18403789,8.5,18465213,8.5,18543504,8.5,18630119,8.5,18671967,8.5,18731482,8.5,18794008,8.5,18839347,8.5,18919648,8.5,18996840,8.5,19047133,8.5,19137376,8.5,19162082,8.5,19223788,8.5,,
TELEFONICA,LLAORB14268,19-0340-012,Servicios Médicos Medicien S.A,ANDRES BELLO 2294,40,1322,SI,UF,,,47307911,4.14,47308484,4.14,47309054,4.14,47309595,4.14,47310141,4.14,47899374,4.14,47899920,4.14,47900439,4.14,47900950,4.14,47901607,4.14,48840560,4.14,48841097,4.14,48841542,4.14,48842080,4.14,48842590,4.14,48843105,4.14,49557409,4.14,49557946,4.14,49558434,4.14,49558926,4.14,49559481,4.14,49559977,4.14,50403061,4.14,50403576,4.14,50404177,3.73,50991723,3.73,51290707,3.73,51290501,3.73,51291221,3.73,,
ENTEL,10000433739,15-0106-041,Bidvest,Lo Echevers 550,10,1762,SI,UF,,,,5.3,17608095,5.3,"17663201",5.3,17714499,5.3,17768872,5.3,17823836,5.3,17879154,5.3,17953361,5.3,18008672,5.3,18047299,5.3,18123630,5.3,18183303,5.3,18226050,5.3,18283989,5.3,18346634,5.3,18403789,5.3,18465213,5.3,18543504,5.3,18630119,5.3,18671967,5.3,18731482,5.3,18794008,5.3,18839347,5.3,18919648,5.3,18996840,5.3,19047133,5.3,19137376,5.3,19162082,5.3,19223788,5.3,,
ENTEL,10000351390,16-0050-012,MAESTRA GESTIÓN INTEGRAL SPA,Av Las Condes 11283 P9,100,,NO,UF,,,,7.2,17608095,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELEFONICA,LLAORB14471,18-0507-013,ADMINISTRADORA COLEGIOS PEDRO DE VALDIVIA SPA,AGUSTINAS 2009,100,1364,SI,UF,,,47307911,4.93,47308484,4.93,47309054,4.93,47309595,4.93,47310141,4.93,47899374,4.93,47899920,4.93,47900439,4.93,47900950,4.93,47901607,4.93,48840560,4.93,48841097,4.93,48841542,4.93,48842080,4.93,48842590,4.93,48843105,4.93,49557409,4.93,49557946,4.93,49558434,4.93,49558926,4.93,49559481,4.93,49559977,4.93,50403061,4.93,50403576,4.93,50404177,4.44,50991742,4.44,51290707,4.44,51290501,4.44,51291221,4.44,,
TELEFONICA,LLAORB15623,13-0012-191,Orbyta Nodo Alto El Plomo,LOS MILITARES 5890,100,1679,SI,UF,,,47307911,4.93,47308484,4.93,47309054,4.93,47309595,4.93,47310141,4.93,47899374,4.93,47899920,4.93,47900439,4.93,47900950,4.93,47901607,4.93,48840560,4.93,48841097,4.93,48841542,4.93,48842080,4.93,48842590,4.93,48843105,4.93,49557409,4.93,49557946,4.93,49558434,4.93,49558926,4.93,49559481,4.93,49559977,4.93,50403061,4.93,50403576,4.93,50404177,4.44,50991742,4.44,51290707,4.44,51290501,4.44,51291221,4.44,,
ENTEL,10000365342,15-0115-008,Co Work,San Sebastian 2957,,,NO,UF,,,,4.93,17608095,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTEL,10000367477,15-0085-013,,Laboratorio y Farmacias LVN la Botika y Compañia Ltda,,1408,NO,UF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTEL,10000436039,18-0220-009,Ingeniería y Maquinaria Tambo Limitada,La Cruz 0402,100,1773/2063,SI,UF,,,,10,17608095,10,"17663201",10,17714499,10,17768872,10,17823836,10,17879154,10,17953361,10,18008672,10,18047299,10,18123630,10,18183303,10,18226050,10,18283989,10,18346634,10,18403789,10,18465213,10,18543504,10,18630119,10,18671967,10,18731482,10,18794008,10,18839347,10,18919648,10,18996840,10,19047133,10,19137376,10,19162082,10,19223788,10,,
ENTEL,10000370579,19-0340-014,Servicios Médicos Dial S.A.,Providencia 2653 P -1 Torre B,40,1422,NO,UF,,,,4.34,17608095,4.34,"17663201",4.34,17714499,4.34,17768872,4.34,679262,-4.34,,,695214,-7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTEL,10000471803,18-0300-002,COLEGIO PEDRO DE VALDIVIA PROVIDENCIA SpA,Av Pedro de Valdivia 1939,400,1931,SI,UF,,,,11.2,17608095,11.2,"17663201",11.2,17714499,11.2,17768872,11.2,17823836,11.2,17879154,11.2,17953361,11.2,18008672,11.2,18047299,11.2,18123630,11.2,18183303,11.2,18226050,11.2,18283989,11.2,18346634,11.2,18403789,11.2,18465213,11.2,18543504,11.2,18630119,11.2,18671967,11.2,18731482,11.2,18794008,11.2,18839347,11.2,18919648,11.2,18996840,11.2,19047133,11.2,19137376,11.2,19162082,11.2,19223788,11.2,,
TELEFONICA,LLAMOV16655,13-0012-216,Orbyta Nodo Contemporaneo,Limache 1708,100,1957,NO,UF,,,47307888,6.93,47308416,6.93,47309021,6.93,47309522,6.93,47310076,6.93,47899329,6.93,47899878,6.93,47900396,6.93,47900883,6.93,47901540,6.93,48840514,-7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTEL,10000471812,19-0205-002,RODRIGUEZ Y MAULEN EDUCACIONAL SpA,Agustinas 2009,400,2313,SI,UF,,,,11,17608095,11,"17663201",11,17714499,11,17768872,11,17823836,11,17879154,11,17953361,11,18008672,11,18047299,11,18123630,11,18183303,11,18226050,11,18283989,11,18346634,11,18403789,11,18465213,11,18543504,11,18630119,11,18671967,11,18731482,11,18794008,11,18839347,11,18919648,11,18996840,11,19047133,11,19137376,11,19162082,11,19223788,11,,
ENTEL,10000380426,17-0058-001,DEL ORO Y MINIZAGA ABOGADOS,San Antonio 378,50,1482,NO,UF,,,,4.53,17608095,4.53,"17663201",3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTEL,10000471853,18-0507-023,ADMINISTRADORA COLEGIOS PEDRO DE VALDIVIA SPA,Quilin 5473,300,1929,SI,UF,,,,14.1,17608095,14.1,"17663201",14.1,17714499,14.1,17768872,14.1,17823836,14.1,17879154,14.1,17953361,14.1,18008672,14.1,18047299,14.1,18123630,14.1,18183303,14.1,18226050,14.1,18283989,14.1,18346634,14.1,18403789,14.1,18465213,14.1,18543504,14.1,18630119,14.1,18671967,14.1,18731482,14.1,18794008,14.1,18839347,14.1,18919648,14.1,18996840,14.1,19047133,14.1,19137376,14.1,19162082,14.1,19223788,14.1,,
ENTEL,10000398415,15-0085-016,,LVN Lo Barnechea,,2368,NO,UF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTEL,10000472312,15-0067-014,ASOCIACIÓN DE EXPORTADORES DE FRUTAS DE CHILE,Cruz del Sur 133,20,1933,SI,UF,,,,4.5,17608095,4.5,"17663201",4.5,17714499,4.5,17768872,4.5,17823836,4.5,17879154,4.5,17953361,4.5,18008672,4.5,18047299,4.5,18123630,4.5,18183303,4.5,18226050,4.5,18283989,4.5,18346634,4.5,18403789,4.5,18465213,4.5,18543504,9.5,18630119,9.5,18671967,7.2,18731482,7.2,18794008,7.2,18839347,7.2,18919648,7.2,18996840,7.2,19047133,7.2,19137376,7.2,19162082,7.2,19223788,7.2,,
ENTEL,10000415926,18-0127-003,YOLITO BALART HERMANOS LIMITADA,Av. Las Condes 7090,100,1695,NO,UF,,,,8.2,17608095,8.2,"17663201",8.2,17714499,8.2,17768872,8.2,17823836,8.2,17879154,8.2,17953361,8.2,18008672,8.2,18047299,8.2,18123630,8.2,18183303,8.2,18226050,8.2,18283989,8.2,18346634,8.2,18403789,8.2,18465213,8.2,18543504,8.2,18630119,6.8,,,,,,,,,,,,,,,,,,,,,,
TELEFONICA,LLAORB15641,13-0012-197,Orbyta Nodo Uptown,KENNEDY 7440 P 1,100,1688,SI,UF,,,47307888,5.67,47308416,5.67,47309021,5.67,47309522,5.67,47310076,5.67,47899329,5.67,47899878,5.67,47900396,5.67,47900883,5.67,47901540,5.67,48840514,5.67,48841055,5.67,48841502,5.67,48842039,5.67,48842551,5.67,48843043,5.67,49557350,5.67,49557902,5.67,49558368,5.67,49558846,5.67,49559401,5.67,50402727,5.67,50403025,5.67,50403541,5.67,50404138,5.1,50991723,5.1,51290707,5.1,51290618,5.1,51291218,5.1,,
ENTEL,10000475341,18-0507-015,ADMINISTRADORA COLEGIOS PEDRO DE VALDIVIA SPA,Av Las Condes 13349,100,1932,SI,UF,,,,7.1,17608095,7.1,"17663201",7.1,17714499,7.1,17768872,7.1,17823836,7.1,17879154,7.1,17953361,7.1,18008672,7.1,18047299,7.1,18123630,7.1,18183303,7.1,18226050,7.1,18283989,7.1,18346634,7.1,18403789,7.1,18465213,7.1,18543504,7.1,18630119,7.1,18671967,7.1,18731482,7.1,18794008,7.1,18839347,7.1,18919648,7.1,18996840,7.1,19047133,7.1,19137376,7.1,19162082,7.1,19223788,7.1,,
ENTEL,10000512867,12-0013-083,COLEGIOS DUNALASTAIR VALLE NORTE S.A.,Camino del Solar S/N,100,2114,SI,UF,,,,8.2,17608095,8.2,"17663201",8.2,17714499,8.2,17768872,8.2,17823836,8.2,17879154,8.2,17953361,8.2,18008672,8.2,18047299,8.2,18123630,8.2,18183303,8.2,18226050,8.2,18283989,8.2,18346634,8.2,18403789,8.2,18465213,8.2,18543504,8.2,18630119,8.2,18671967,8.2,18731482,8.2,18794008,8.2,18839347,8.2,18919648,8.2,18996840,8.2,19047133,8.2,19137376,8.2,19162082,8.2,19223788,8.2,,
ENTEL,10000455090,19-0083-006,Parque Toledo SpA,Alvarez de Toledo 742,1000,2340,NO,UF,,,,21,17608095,21,"17663201",21,17714499,21,17768872,21,17823836,21,17879154,21,17953361,21,18008672,21,18047299,21,18123630,21,18183303,21,18226050,21,18283989,21,18346634,21,18403789,2.8,18465213,18,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTEL,10000471334,13-0012-203,Orbyta Nodo Origami,Av Apoquindo 4615,100,1923,NO,UF,,,,7.39,17608095,7.39,"17663201",7.39,17714499,7.39,17768872,7.39,17823836,7.39,17879154,7.39,17953361,7.39,18008672,7.39,18047299,7.39,18123630,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG Technologies,,,Administración y reportería customizada de 11 servidores para DNL,,,2427,En Baja,UF,,,807,9,836,9,861,9,890,9,909,9,931,9.02,956,9.02,980,9,1003,9,1024,9,1048,9,1072,9,1095,9,1118,9,8,9,25,9,40,9,56,9,70,9,85,9,99,9,,,,,,,,,,,,,,,,,,
MOVISTAR LD,LLAMOV10703,13-0012-123,Orbyta,Transito IP Nacional e Internacional (300mbps),300,,SI,CLP,47308203,805470,47308632,836730,47309205,805250,47309739,810120,47310195,805250,47899533,787160,47900053,856580,47900579,826260,47901088,919970,47901480,911420,48840739,882110,48840980,966000,48841700,945310,48842250,905700,48842765,859510,48843297,810370,49557602,831240,49558096,789320,49558617,801610,49559108,803940,49559663,802680,49560131,827840,50403235,854220,50403756,906840,50404353,910280,51147872,867860,,,512900622,932660,51291188,980190,,,,
NETLAND,3170,21-0099-003,PROMET MONTAJES SPA,Las Tortolas Segunda Faena,10,2329/2465,NO,UF,,,,,187423,24,188170,24,189188,24,189676,24,190646,12,191434,12,191828,6.9,192510,12,193200,12,193893,12,194547,12,195407,12,196032,12,196585,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARALLEL,,13-0006-039,CONSTRUCTORA EXCON S.A,Cañada del Carmen 7 Lampa,10,1671,SI,UF,,,87567,6.8,89242,6.8,90990,5.8,92747,5.8,94475,5.8,96235,5.8,98009,5.8,99754,5.8,101499,5.8,103249,5.8,104845,5.75,106539,5.8,108275,5.8,109969,5.8,111601,5.8,113233,5.75,114841,5.8,116460,5.79,118108,5.8,119707,5.8,121329,5.8,122888,5.8,124606,5.79,126174,5.79,127728,5.79,129272,5.8,130817,5.8,132352,5.8,,,,
PARALLEL,,12-0004-163,AGROCOMMERCE S.A.,"Jose Miguel Infante 8745, renca",20,1672/2080,SI,UF,,,87566,5.5,89241,5.5,90989,5.5,92746,5.5,94474,5.5,96234,5.5,98008,5.5,99753,5.5,101498,5.5,103248,5.5,104846,5.46,106538,5.5,108276,5.5,109970,5.5,111602,5.5,113234,5.46,114842,5.5,116461,5.49,118109,5.5,119708,5.5,121330,5.5,122886,5.5,124607,5.49,126175,5.49,127729,5.49,129273,5.5,130815,5.5,132353,5.5,,,,
PARALLEL,4241,17-0061-015,ECG SPA,Jose Miguel Infante 8745,10,2525,NO,UF,,,87626,4.5,89390,4.5,91031,4.5,94330,4.5,94552,4.5,96393,4.5,98135,4.5,99830,4.5,101561,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARALLEL,,15-0102-080,AGROCOMERCIAL CODIGUA SPA,A.Vespucio 0350,20,2151,SI,UF,,,87625,5.5,89389,5.5,91030,5.5,94329,5.5,94551,5.5,96392,5.5,98134,5.5,99829,5.5,101560,5.5,103246,5.5,104843,5.46,106537,5.5,108274,5.5,109968,5.5,111600,5.5,113232,5.46,114840,5.5,116459,5.49,118107,5.5,119706,5.5,121328,5.5,122887,5.5,124605,5.49,126173,5.49,127727,5.49,129271,5.5,130813,5.5,132351,5.5,,,,
TELEFONICA,LLAORB15651,18-0127-002,YOLITO BALART HERMANOS LIMITADA,LAS TRINITARIAS 7087,100,1690,SI,UF,,,47307911,4.93,47308484,4.93,47309054,4.93,47309595,4.93,47310141,4.93,47899374,4.93,47899920,4.93,47900439,4.93,47900950,4.93,47901607,4.93,48840560,4.93,48841097,4.93,48841542,4.93,48842080,4.93,48842590,4.93,48843105,4.93,49557409,4.93,49557946,4.93,49558434,4.93,49558926,4.93,49559481,4.93,49559977,4.93,50403061,4.93,50403576,4.93,50404177,4.44,50991742,4.44,51290707,4.44,51290501,4.44,51291221,4.44,,
TELEFONICA,NAP201110069,,Orbyta,LA CONCEPCIoN 141,,,SI,UF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50991723,5,51148041,0,51290618,0,,,,
TELEFONICA,C596712,,,OC ACCESO TELEFONICA SN Entronque 1G,,,SI,UF,,,47307888,14.89,47308416,14.89,47309021,14.89,47309522,14.89,47310076,14.89,47899329,14.89,47899878,14.89,47900396,14.89,47900883,14.89,47901540,14.89,48840514,14.89,48841055,14.89,48841502,14.89,48842039,14.89,48842551,14.89,48843043,14.89,49557350,14.89,49557902,14.89,49558368,14.89,49558846,14.89,49559401,14.89,50402727,14.89,50403025,14.89,50403541,14.89,50404138,13.4,50991723,13.4,51148041,13.4,51290618,13.4,51291218,13.4,,
TELEFONICA,C845951,13-0012-198,Orbyta Trunk L2 1G Movistar,HOLANDA 358,1000,,SI,UF,,,47307888,0,47308416,0,47309021,0,47309522,0,47310076,0,47899329,0,47899878,0,47900396,0,47900883,0,47901540,0,48840514,0,48841055,0,48841502,0,48842039,0,48842551,0,48843043,0,49557350,0,49557902,0,49558368,0,49558846,0,49559401,0,50402727,0,50403025,0,50403541,0,50404138,0,50991723,0,51148041,0,51290618,0,51291218,0,,
TELEFONICA,C968381,,,OC PROVIDENCIA SN,,,SI,UF,,,47307888,0,47308416,0,47309021,0,47309522,0,47310076,0,47899329,0,47899878,0,47900396,0,47900883,0,47901540,0,48840514,0,48841055,0,48841502,0,48842039,0,48842551,0,48843043,0,49557350,0,49557902,0,49558368,0,49558846,0,49559401,0,50402727,0,50403025,0,50403541,0,50404138,0,50991723,0,51148041,0,51290618,0,51291218,0,,
TELEFONICA,LLAMOV10704,12-0001-020,IMPORTADORA DILACO S.A.,PÉREZ VALENZUELA 1138,100,1155,SI,UF,,,47307888,6.6,47308416,6.6,47309021,6.6,47309522,6.6,47310076,6.6,47899329,6.6,47899878,6.6,47900396,6.6,47900883,6.6,47901540,6.6,48840514,6.6,48841055,6.6,48841502,6.6,48842039,6.6,48842551,6.6,48843043,6.6,49557350,6.6,49557902,6.6,49558368,6.6,49558846,6.6,49559401,6.6,50402727,6.6,50403025,6.6,50403541,6.6,50404138,5.94,50991723,5.94,51148041,5.94,51290618,5.94,51291218,5.94,,
TELEFONICA,LLAORB10717,12-0008-019,HOLDTECH S.A.,LIRA 278,100,89,SI,UF,,,47307888,5.85,47308416,5.85,47309021,5.85,47309522,5.85,47310076,5.85,47899329,5.85,47899878,5.85,47900396,5.85,47900883,5.85,47901540,5.85,48840514,5.85,48841055,5.85,48841502,5.85,48842039,5.85,48842551,5.85,48843043,5.85,49557350,5.85,49557902,5.85,49558368,5.85,49558846,5.85,49559401,5.85,50402727,5.85,50403025,5.85,50403541,5.85,50404138,5.27,50991723,5.27,51148041,5.27,51290618,5.27,51291218,5.27,,
TELEFONICA,LLAORB12205,13-0012-086,Orbyta Nodo Valle 2,AV. DEL VALLE 576,100,527,En Baja,UF,,,47307888,6.31,47308416,6.31,47309021,6.31,47309522,6.31,47310076,6.31,47899329,6.31,47899878,6.31,47900396,6.31,47900883,6.31,47901540,6.31,48840514,6.31,48841055,6.31,48841502,6.31,48842039,6.31,48842551,6.31,48843043,6.31,49557350,6.31,49557902,6.31,49558368,6.31,49558846,6.31,49559401,6.31,50402727,6.31,50403025,6.31,50403541,6.31,50404138,5.68,50991723,5.68,51148041,5.68,51290618,5.68,51291218,1.1,,
TELEFONICA,LLAORB12803,13-0012-151,Orbyta Nodo Altos del Plomo A,CALLE LOS MILITARES 5890,100,707/1120,NO,UF,,,47307888,2.8,47308416,2.8,47309021,2.8,47309522,2.8,47310076,2.8,47899329,2.8,47899878,2.8,47900396,2.8,47900883,2.8,47901540,2.8,48840514,2.8,48841055,2.8,48841502,2.8,48842039,2.8,48842551,2.8,48843043,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELEFONICA,LLAORB12948,12-0009-027,UNION PACIFIC TRADING CHILE COMERCIAL LTDA.,AUTOPISTA LOS LIBERTADORES SN,10,732/2430,NO,UF,,,47307888,2.92,47308416,2.92,47309021,2.92,47309522,1.42,47310076,0,47899329,2.92,47899878,2.92,47900396,2.92,47900883,2.92,47901540,2.92,48840514,2.92,48841055,2.92,48841502,2.92,48842039,2.92,48842551,2.92,48843043,2.92,49557350,2.92,49557902,2.92,49558368,2.92,49558846,2.92,49559401,2.92,50402727,2.92,50403025,2.92,50403541,2.92,50404138,0.49,,,,,,,,,,
TELEFONICA,LLAORB12949,14-0115-006,Grow Southwest S.A,SAN JOSE DE MARCHIHUE SN,10,733,NO,UF,,,47307888,4.62,47308416,4.62,47309021,4.62,47309522,4.62,47310076,4.62,47899329,4.62,47899878,4.62,47900396,4.62,47900883,4.62,47901540,4.62,48840514,4.62,48841055,4.62,48841502,4.62,48842039,4.62,48842551,4.62,48843043,4.62,49557350,4.62,49557902,4.62,49558368,4.62,49558846,4.62,49559401,4.62,50402727,4.62,50403025,4.62,50403541,4.62,50404138,0.77,,,,,,,,,,
TELEFONICA,LLAORB13144,13-0012-091,Orbyta Nodo Barros Borgoño,DOCTOR MANUEL BARROS BORGOÑO 71,100,851/1674/2032,NO,UF,,,47307888,4.71,47308416,4.71,47309021,4.71,47309522,4.71,47310076,4.71,47899329,4.71,47899878,4.71,47900396,4.71,47900883,4.71,47901540,4.71,48840514,4.71,48841055,4.71,48841502,4.71,48842039,4.71,48842551,4.71,48843043,4.71,49557350,4.71,49557902,4.71,49558368,4.71,49558846,4.71,49559401,4.71,50402727,4.71,50403025,4.71,50403541,4.71,50404138,-1.67,,,,,,,,,,
TELEFONICA,LLAORB10770,12-0016-010,OUTSOURCING INTERNACIONAL CORREDORES DE SEGUROS,Av El Bosque Norte 140,50,2308,SI,UF,,,47307888,5.6,47308416,5.6,47309021,5.6,47309522,5.6,47310076,5.6,47899329,5.6,47899878,5.6,47900396,5.6,47900883,5.6,47901540,5.6,48840514,5.6,48841055,5.6,48841502,5.6,48842039,5.6,48842551,5.6,48843043,5.6,49557350,5.6,49557902,5.6,49558368,5.6,49558846,5.6,49559401,5.6,50402727,5.6,50403025,5.6,50403541,5.6,50404138,5.6,50991723,5.6,51148041,5.6,51290618,5.6,51291218,5.6,,
TELEFONICA,LLAORB13293,13-0012-018,Orbyta Nodo Antonio Bellet,CALLE ANTONIO BELLET 292,100,964,NO,UF,,,47307888,5.54,47308416,5.54,47309021,5.54,47309522,5.54,47310076,5.54,47899329,5.54,47899878,5.54,47900396,5.54,47900883,5.54,47901540,5.54,48840514,5.54,48841055,5.54,48841502,5.54,48842039,5.54,48842551,5.54,48843043,5.54,49557350,5.54,49557902,5.54,49558368,5.54,49558846,5.54,49559401,5.54,50402727,0.54,,,,,,,,,,,,,,,,
TELEFONICA,LLAORB10951,13-0006-010,CONSTRUCTORA EXCON S.A,"CANADA DEL CARMEN, PARCELA 7",100,832,SI,UF,,,47307888,8,47308416,8,47309021,8,47309522,8,47310076,8,47899329,8,47899878,8,47900396,8,47900883,8,47901540,8,48840514,8,48841055,8,48841502,8,48842039,8,48842551,8,48843043,8,49557350,8,49557902,8,49558368,8,49558846,8,49559401,8,50402727,8,50403025,8,50403541,8,50404138,7.2,50991723,7.2,51148041,7.2,51290618,7.2,51291218,7.2,,
TELEFONICA,LLAORB13516,20-0133-001,MARÍA VICTORIA HERRERA NOVOA SPA,Cerro el plomo 5680,20,2225,NO,UF,,,47307888,3.88,47308416,3.88,47309021,3.88,47309522,3.88,47310076,3.88,47899329,3.88,47899878,3.88,47900396,3.88,47900883,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELEFONICA,LLAORB11447,13-0016-004,AITEC S.A.,ELEODORO YANEZ 1812,10,363,SI,UF,,,47307888,4.27,47308416,4.27,47309021,4.27,47309522,4.27,47310076,4.27,47899329,4.27,47899878,4.27,47900396,4.27,47900883,4.27,47901540,4.27,48840514,4.27,48841055,4.27,48841502,4.27,48842039,4.27,48842551,4.27,48843043,4.27,49557350,4.27,49557902,4.27,49558368,4.27,49558846,4.27,49559401,4.27,50402727,4.27,50403025,4.27,50403541,4.27,50404138,3.84,50991723,3.84,51148041,3.84,51290618,3.84,51291218,3.84,,
TELEFONICA,LLAORB11711,13-0012-117,Orbyta Nodo Padre Mariano,PADRE MARIANO 391,100,1153,SI,UF,,,47307888,4.62,47308416,4.62,47309021,4.62,47309522,4.62,47310076,4.62,47899329,4.62,47899878,4.62,47900396,4.62,47900883,4.62,47901540,4.62,48840514,4.62,48841055,4.62,48841502,4.62,48842039,4.62,48842551,4.62,48843043,4.62,49557350,4.62,49557902,4.62,49558368,4.62,49558846,4.62,49559401,4.62,50402727,4.62,50403025,4.62,50403541,4.62,50404138,4.16,50991723,4.16,51148041,4.16,51290618,4.16,51291218,4.16,,
