operador,id-operador
STARLINK,13-ACC-1523203-11200-85 / KIT300232717
UFINET,CLCLORB10091599C
GTD,EnMPLSFO_010392275
GTD, EnMPLSFO_010375285 
GTD, RedPriv_010533314 (EnMPLSFO_010361688)
STARLINK,13-ACC-1523203-11200-85 / KIT302915069
STARLINK,13-ACC-1523203-11200-85 / KIT303030893
STARLINK,13-ACC-1523203-11200-85 / KIT302915075
STARLINK,13-ACC-1523203-11200-85 / KIT303238323
STARLINK,14-ACC-1728777-84730-26 / KIT300663632
STARLINK,15-ACC-1728900-85269-22 / KIT300663628
GTD,EnMPLSFO_010343698
GTD, EnMPLSFO_010379879 
GTD,EnMPLSFO_010208566
UFINET,CLCLORB10091600C
GTD,EnMPLSFO_010357854
GTD,EnMPLS-FO_010369505
GTD,EnMPLSFO_010426649
GTD, RedPriv_010533311 (EnMPLSFO_010361089)
GTD, EnMPLSFO_010462248
STARLINK,16-ACC-1897955-47689-43 / KIT301067628
STARLINK,16-ACC-1897955-47689-43 / KIT301099028
STARLINK,16-ACC-1897955-47689-43 / KIT301099996
STARLINK,16-ACC-1897955-47689-43 / KIT301100001
STARLINK,16-ACC-1897955-47689-43 / KIT301101387
STARLINK,16-ACC-1897955-47689-43 / KIT301101388
STARLINK,16-ACC-1897955-47689-43 / KIT301418580
STARLINK,16-ACC-1897955-47689-43 / KIT301419782
STARLINK,17-ACC-1898207-28830-21 / KIT300809858
STARLINK,17-ACC-1898207-28830-21 / KIT301098983
STARLINK,17-ACC-1898207-28830-21 / KIT301099004
STARLINK,17-ACC-1898207-28830-21 / KIT301099005
STARLINK,17-ACC-1898207-28830-21 / KIT301128617
STARLINK,17-ACC-1898207-28830-21 / KIT301129905
STARLINK,17-ACC-1898207-28830-21 / KIT301130411
STARLINK,17-ACC-1898207-28830-21 / KIT301130412
STARLINK,17-ACC-1898207-28830-21 / KIT301062064
STARLINK,18-ACC-1901700-52644-4 / KIT300807367
STARLINK,19-ACC-1903494-79459-29 / KIT301098692
STARLINK,20-ACC-1907502-78191-15 / KIT301098702
STARLINK,20-ACC-1907502-78191-15 / KIT301417928
STARLINK,20-ACC-1907502-78191-15 / KIT
STARLINK,21-ACC-1937010-83356-11 / KIT301099059
STARLINK,22-ACC-1937403-12402-1 / KIT300807356
STARLINK,23-ACC-1938002-17212-1 / KIT300807428
STARLINK,23-ACC-1938002-17212-1 / KIT301067635
STARLINK,23-ACC-1938002-17212-1 / KIT301099031
STARLINK,24-ACC-1938028-18236-16 / KIT300805910
STARLINK,24-ACC-1938028-18236-16/KIT302725604
STARLINK,24-ACC-1938028-18236-16/KIT302725592
STARLINK,24-ACC-1938028-18236-16/KIT302725605
STARLINK,24-ACC-1938028-18236-16/KIT302725606
STARLINK,25-ACC-1938047-91869-30 / KIT300806850
STARLINK,25-ACC-1938047-91869-30 / KIT KIT302725533
STARLINK,25-ACC-1938047-91869-30 / KIT KIT302725603
STARLINK,26-ACC-1947332-38715-18 / KIT300806836
GTD,EnMPLSFO_010425471
GTD,EnMPLSFO_010358328
TELEFONICA,LLAORB19816
GTD, EnMPLS-FO_010408345
GTD,RedPriv_010393545
GTD,EnMPLSFO_010350944
GTD,EnMPLSDC_010339005
GTD,EnMPLSFO_010347517
UFINET,CLCLORB10091601C
UFINET,CLCLORB10091602C
GTD,Mbps RedPriv_010533307 
GTD,RedPriv_010402381
GTD,Mbps RedPriv_010533313
GTD, RedPriv_010378647 
UFINET,CLCLORB10091604C
UFINET,CLCLORB10091606C
UFINET,CLCLORB10091607C
GTD,Mbps RedPriv_010534342 EnMPLSFO_010361097)
GTD,EnMPLSFO_010393544
GTD,RedPriv_010384289 
NETLINE AIR SPA,NAIR-761993798-07
UFINET,CLCLORB10091609C
UFINET,CLCLORB10091611C
UFINET,CLCLORB10091613C
TELEFONICA,LLAORB20013-L3
STARLINK,26-ACC-1947332-38715-18 / KIT300806842
STARLINK,26-ACC-1947332-38715-18 / KIT300809207
STARLINK,26-ACC-1947332-38715-18 / KIT301062854
STARLINK,26-ACC-1947332-38715-18 / KIT301063540
STARLINK,26-ACC-1947332-38715-18 / KIT301063552
STARLINK,26-ACC-1947332-38715-18 / KIT301065915
STARLINK,26-ACC-1947332-38715-18 / KIT301065943
STARLINK,26-ACC-1947332-38715-18 / KIT301066076
STARLINK,26-ACC-1947332-38715-18 / KIT301066542
STARLINK,26-ACC-1947332-38715-18 / KIT301067365
STARLINK,26-ACC-1947332-38715-18 / KIT301067825
STARLINK,26-ACC-1947332-38715-18 / KIT301098462
STARLINK,26-ACC-1947332-38715-18 / KIT301098803
STARLINK,26-ACC-1947332-38715-18 / KIT301102059
STARLINK,26-ACC-1947332-38715-18 / KIT301102061
STARLINK,26-ACC-1947332-38715-18 / KIT301102064
STARLINK,26-ACC-1947332-38715-18 / KIT301130759
STARLINK,26-ACC-1947332-38715-18 / KIT301130762
STARLINK,26-ACC-1947332-38715-18 / KIT301132284
STARLINK,26-ACC-1947332-38715-18 / KIT301132313
NETLINE AIR SPA,NAIR-761993798-02
UFINET,CLCLORB10091615C
UFINET,CLCLORB10091617C
UFINET,CLCLORB10091620C
UFINET,CLCLORB10094208C
UFINET,CLCLORB10094362C
UFINET,CLCLORB10096704C
UFINET,CLCLORB10099915C
UFINET,CLCLORB10103327C
UFINET,CLCLORB10104203C
UFINET,CLCLORB10110083C
GTD, RedPriv_010378648 
TELEFONICA,LLXORB18689
TELEFONICA,SIP2306473 LLAORB19663-L3
STARLINK,B-ACC-3456173-71210-5 / KIT00266290
UFINET,CLCLORB10120211C
TELEFONICA,LLAORB20073
STARLINK,B-ACC-3456173-71210-5 / KIT301099059
GTD,EnMPLSFO_010467937
ENTEL,                                             
STARLINK,16-ACC-1897955-47689-43 / KIT301098615
